Date,Consumption
04/04/2025 07:45:00,40.494
04/04/2025 07:30:00,39.580
04/04/2025 07:15:00,38.239
04/04/2025 07:00:00,37.058
04/04/2025 06:45:00,35.027
04/04/2025 06:30:00,33.969
04/04/2025 06:15:00,33.014
04/04/2025 06:00:00,31.634
04/04/2025 05:45:00,29.662
04/04/2025 05:30:00,28.833
04/04/2025 05:15:00,28.369
04/04/2025 05:00:00,27.961
04/04/2025 04:45:00,27.101
04/04/2025 04:30:00,26.492
04/04/2025 04:15:00,26.567
04/04/2025 04:00:00,26.613
04/04/2025 03:45:00,26.560
04/04/2025 03:30:00,26.520
04/04/2025 03:15:00,26.696
04/04/2025 03:00:00,26.927
04/04/2025 02:45:00,26.693
04/04/2025 02:30:00,26.880
04/04/2025 02:15:00,27.003
04/04/2025 02:00:00,26.982
04/04/2025 01:45:00,27.090
04/04/2025 01:30:00,27.362
04/04/2025 01:15:00,27.730
04/04/2025 01:00:00,28.136
04/04/2025 00:45:00,28.480
04/04/2025 00:30:00,28.679
04/04/2025 00:15:00,29.215
04/04/2025 00:00:00,29.878
03/04/2025 23:45:00,30.892
03/04/2025 23:30:00,31.421
03/04/2025 23:15:00,32.202
03/04/2025 23:00:00,33.243
03/04/2025 22:45:00,33.798
03/04/2025 22:30:00,34.452
03/04/2025 22:15:00,35.538
03/04/2025 22:00:00,36.299
03/04/2025 21:45:00,37.236
03/04/2025 21:30:00,38.082
03/04/2025 21:15:00,38.922
03/04/2025 21:00:00,39.623
03/04/2025 20:45:00,40.686
03/04/2025 20:30:00,41.100
03/04/2025 20:15:00,41.500
03/04/2025 20:00:00,41.753
03/04/2025 19:45:00,41.512
03/04/2025 19:30:00,40.725
03/04/2025 19:15:00,39.831
03/04/2025 19:00:00,39.358
03/04/2025 18:45:00,38.718
03/04/2025 18:30:00,37.863
03/04/2025 18:15:00,37.922
03/04/2025 18:00:00,37.834
03/04/2025 17:45:00,37.515
03/04/2025 17:30:00,37.531
03/04/2025 17:15:00,37.833
03/04/2025 17:00:00,37.985
03/04/2025 16:45:00,38.342
03/04/2025 16:30:00,38.668
03/04/2025 16:15:00,38.748
03/04/2025 16:00:00,38.923
03/04/2025 15:45:00,39.322
03/04/2025 15:30:00,39.540
03/04/2025 15:15:00,39.670
03/04/2025 15:00:00,39.925
03/04/2025 14:45:00,40.043
03/04/2025 14:30:00,40.127
03/04/2025 14:15:00,40.234
03/04/2025 14:00:00,39.981
03/04/2025 13:45:00,39.815
03/04/2025 13:30:00,40.455
03/04/2025 13:15:00,40.376
03/04/2025 13:00:00,40.444
03/04/2025 12:45:00,40.444
03/04/2025 12:30:00,40.513
03/04/2025 12:15:00,41.003
03/04/2025 12:00:00,41.820
03/04/2025 11:45:00,43.072
03/04/2025 11:30:00,43.528
03/04/2025 11:15:00,43.879
03/04/2025 11:00:00,43.994
03/04/2025 10:45:00,43.943
03/04/2025 10:30:00,44.357
03/04/2025 10:15:00,44.928
03/04/2025 10:00:00,44.769
03/04/2025 09:45:00,45.536
03/04/2025 09:30:00,45.475
03/04/2025 09:15:00,45.310
03/04/2025 09:00:00,45.134
03/04/2025 08:45:00,44.296
03/04/2025 08:30:00,44.062
03/04/2025 08:15:00,43.625
03/04/2025 08:00:00,43.146
03/04/2025 07:45:00,41.451
03/04/2025 07:30:00,40.597
03/04/2025 07:15:00,39.582
03/04/2025 07:00:00,38.090
03/04/2025 06:45:00,36.116
03/04/2025 06:30:00,34.937
03/04/2025 06:15:00,34.109
03/04/2025 06:00:00,32.329
03/04/2025 05:45:00,29.777
03/04/2025 05:30:00,28.762
03/04/2025 05:15:00,27.866
03/04/2025 05:00:00,27.487
03/04/2025 04:45:00,26.574
03/04/2025 04:30:00,26.223
03/04/2025 04:15:00,26.278
03/04/2025 04:00:00,25.985
03/04/2025 03:45:00,25.851
03/04/2025 03:30:00,26.041
03/04/2025 03:15:00,25.958
03/04/2025 03:00:00,25.774
03/04/2025 02:45:00,25.971
03/04/2025 02:30:00,26.188
03/04/2025 02:15:00,25.955
03/04/2025 02:00:00,26.463
03/04/2025 01:45:00,26.526
03/04/2025 01:30:00,26.507
03/04/2025 01:15:00,27.101
03/04/2025 01:00:00,27.585
03/04/2025 00:45:00,27.910
03/04/2025 00:30:00,28.298
03/04/2025 00:15:00,29.077
03/04/2025 00:00:00,29.551
02/04/2025 23:45:00,30.312
02/04/2025 23:30:00,31.255
